sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point,category,subcategory,unit_cost,list_price,forecast_units_fwd,safety_stock,reorder_point_calc,stockout_risk,overstock_risk,eoq,inventory_turnover,days_of_inventory,sales_at_risk_rupees,capital_locked_rupees,revenue_at_stake_rupees,risk_quadrant,recommended_action,priority_score,reorder_qty,recommendation_details
NBL-1148,127.0,0.0,7,110.0,Decor,Lighting,157.09,280.02,1144.6212308475585,77.95003836827895,279.07411832978283,0.5449237616154585,0.0,710.0,1.952755905511811,4.828241683638833,6003.665599689004,0.0,6003.665599689004,Reorder Now,Raise a replenishment order before stock runs out.,2.0589883445679895,710.0,"Replenish NBL-1148 immediately. Recommended order size: 710 units (EOQ: 710). Delay puts ₹6,003.67 in sales at risk."
NBL-1074,292.0,0.0,14,166.0,Small Appliances,Kettles,74.24,194.75,361.2519897578234,27.925973776173283,153.2613825232274,0.0,0.0,663.0,0.40217391304347827,7.225806451612903,0.0,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,Healthy inventory levels. No action required. On hand covers forward demand and safety stock is within limits.
NBL-1146,728.0,0.0,14,364.0,Small Appliances,Air Purifiers,176.87,458.55,730.5229056103568,83.33151327536245,336.1474470703252,0.0,0.0,655.0,0.27601809954751133,17.272854152128403,0.0,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,Healthy inventory levels. No action required. On hand covers forward demand and safety stock is within limits.
NBL-1050,139.0,0.0,7,102.0,Small Appliances,Kettles,124.56,223.58,603.0,18.545839357931367,108.54583935793137,0.0,0.0,609.0,0.7378640776699029,4.241176470588235,0.0,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,Healthy inventory levels. No action required. On hand covers forward demand and safety stock is within limits.
NBL-1049,380.0,0.0,14,329.0,Decor,Rugs,94.13,172.28,1947.0,140.57866917170244,808.5786691717025,0.5300395440937528,0.0,1213.0,0.0,0.0,2115.444882435194,0.0,2115.444882435194,Reorder Now,Raise a replenishment order before stock runs out.,1.7627031984151234,1213.0,"Replenish NBL-1049 immediately. Recommended order size: 1,213 units (EOQ: 1,213). Delay puts ₹2,115.44 in sales at risk."
NBL-1048,338.0,1166.0,21,1011.0,Furnishings,Tables,41.79,87.61,2670.0,203.20981781681425,1601.2098178168142,0.06071023093610298,0.0,2117.0,0.548051948051948,34.11392405063291,0.0,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,Healthy inventory levels. No action required. On hand covers forward demand and safety stock is within limits.
NBL-1047,545.0,0.0,14,473.0,Small Appliances,Kettles,34.36,64.83,3123.0,283.90784507363844,1291.9078450736383,0.578143284694633,0.0,2612.0,0.0,0.0,43345.27691883101,0.0,43345.27691883101,Reorder Now,Raise a replenishment order before stock runs out.,2.680822545296393,2612.0,"Replenish NBL-1047 immediately. Recommended order size: 2,612 units (EOQ: 2,612). Delay puts ₹43,345.28 in sales at risk."
NBL-1046,0.0,146.0,10,127.0,Decor,Lighting,169.13,335.82,796.0,32.90706175549018,288.9070617554902,0.4946471743789921,0.0,650.0,1.1162790697674418,5.897142857142857,0.0,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,Healthy inventory levels. No action required. On hand covers forward demand and safety stock is within limits.
NBL-1045,876.0,0.0,28,550.0,Furnishings,Storage,72.27,126.56,1134.0,123.77744356176527,891.7774435617653,0.01769213123259773,0.0,981.0,0.3423180592991914,16.891056910569105,0.0,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,Healthy inventory levels. No action required. On hand covers forward demand and safety stock is within limits.
NBL-1051,30.0,267.0,10,232.0,Furnishings,Sofas,107.95,207.23,1353.867310608941,44.90552070652431,494.9055207065243,0.39988545778191265,0.0,1053.0,0.9076305220883534,11.364303178484109,0.0,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,Healthy inventory levels. No action required. On hand covers forward demand and safety stock is within limits.
NBL-1044,859.0,0.0,28,744.0,Small Appliances,Heaters,97.24,204.74,1829.0,145.39635418236526,1359.3963541823653,0.3681018803992145,0.0,1294.0,0.0,0.0,0.0,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,Healthy inventory levels. No action required. On hand covers forward demand and safety stock is within limits.
NBL-1042,73.0,0.0,7,63.0,Furnishings,Storage,169.0,314.91,673.2778429293124,28.45526197459011,145.23575462238878,0.49736894892170924,0.0,580.0,1.8904109589041096,3.4123539232053424,0.0,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,Healthy inventory levels. No action required. On hand covers forward demand and safety stock is within limits.
NBL-1041,764.0,0.0,14,662.0,Small Appliances,Heaters,171.9,355.05,3564.8932385988996,170.1806671740556,1448.0456449487483,0.4723923222551173,0.0,1315.0,7.223404255319149,4.476190476190476,0.0,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,Healthy inventory levels. No action required. On hand covers forward demand and safety stock is within limits.
NBL-1040,638.0,782.0,21,677.0,Decor,Wall Art,71.8,210.21,1573.936840641763,161.55630913216643,861.1733452096319,0.0,0.0,1256.0,0.26107226107226106,41.780869565217394,0.0,0.0,0.0,Healthy,No action needed; leave as is.,0.0,0.0,Healthy inventory levels. No action required. On hand covers forward demand and safety stock is within limits.
