date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-07-13,NBL-1000,490.0,0.0,7,359.0
2024-07-20,NBL-1000,440.0,0.0,7,359.0
2024-07-27,NBL-1000,414.0,0.0,7,359.0
2024-08-03,NBL-1000,414.0,0.0,7,359.0
2024-08-10,NBL-1000,414.0,0.0,7,359.0
2024-08-17,NBL-1000,414.0,0.0,7,359.0
2024-08-24,NBL-1000,414.0,0.0,7,359.0
2024-08-31,NBL-1000,414.0,0.0,7,359.0
2024-09-07,NBL-1000,414.0,0.0,7,359.0
2024-09-14,NBL-1000,414.0,0.0,7,359.0
2024-09-21,NBL-1000,414.0,0.0,7,359.0
2024-09-28,NBL-1000,414.0,0.0,7,359.0
2024-10-05,NBL-1000,414.0,0.0,7,359.0
2024-10-12,NBL-1000,427.0,0.0,7,359.0
2024-10-19,NBL-1000,414.0,0.0,7,359.0
2024-10-26,NBL-1000,414.0,0.0,7,359.0
2024-11-02,NBL-1000,414.0,0.0,7,359.0
2024-11-09,NBL-1000,505.0,0.0,7,359.0
2024-11-16,NBL-1000,514.0,0.0,7,359.0
2024-11-23,NBL-1000,617.0,0.0,7,359.0
2024-11-30,NBL-1000,649.0,0.0,7,359.0
2024-12-07,NBL-1000,740.0,0.0,7,359.0
2024-12-14,NBL-1000,437.0,0.0,7,359.0
2024-12-21,NBL-1000,512.0,0.0,7,359.0
2024-12-28,NBL-1000,620.0,0.0,7,359.0
2025-01-04,NBL-1000,712.0,0.0,7,359.0
2025-01-11,NBL-1000,369.0,0.0,7,359.0
2025-01-18,NBL-1000,484.0,0.0,7,359.0
2025-01-25,NBL-1000,607.0,0.0,7,359.0
2025-02-01,NBL-1000,726.0,0.0,7,359.0
2025-02-08,NBL-1000,462.0,0.0,7,359.0
2025-02-15,NBL-1000,571.0,0.0,7,359.0
2025-02-22,NBL-1000,680.0,0.0,7,359.0
2025-03-01,NBL-1000,770.0,0.0,7,359.0
2025-03-08,NBL-1000,483.0,0.0,7,359.0
2025-03-15,NBL-1000,466.0,0.0,7,359.0
2025-03-22,NBL-1000,587.0,0.0,7,359.0
2025-03-29,NBL-1000,661.0,0.0,7,359.0
2025-04-05,NBL-1000,721.0,0.0,7,359.0
2025-04-12,NBL-1000,377.0,0.0,7,359.0
2025-04-19,NBL-1000,469.0,0.0,7,359.0
2025-04-26,NBL-1000,494.0,,7,359.0
2025-05-03,NBL-1000,503.0,0.0,7,359.0
2025-05-10,NBL-1000,420.0,0.0,7,359.0
2025-05-17,NBL-1000,414.0,0.0,7,359.0
2025-05-24,NBL-1000,414.0,0.0,7,359.0
2025-05-31,NBL-1000,414.0,0.0,7,359.0
2025-06-07,NBL-1000,414.0,0.0,7,359.0
2025-06-14,NBL-1000,414.0,0.0,7,359.0
2025-06-21,NBL-1000,414.0,,7,359.0
2025-06-28,NBL-1000,414.0,0.0,7,359.0
2025-07-05,NBL-1000,414.0,0.0,7,359.0
2025-07-12,NBL-1000,414.0,0.0,7,359.0
2025-07-19,NBL-1000,414.0,0.0,7,359.0
2025-07-26,NBL-1000,414.0,0.0,7,359.0
2025-08-02,NBL-1000,414.0,0.0,7,359.0
2025-08-09,NBL-1000,414.0,0.0,7,359.0
2025-08-16,NBL-1000,414.0,0.0,7,359.0
2025-08-23,NBL-1000,414.0,0.0,7,359.0
2025-08-30,NBL-1000,414.0,0.0,7,359.0
2025-09-06,NBL-1000,443.0,0.0,7,359.0
2025-09-13,NBL-1000,414.0,0.0,7,359.0
2025-09-20,NBL-1000,414.0,0.0,7,359.0
2025-09-27,NBL-1000,414.0,0.0,7,359.0
2025-10-04,NBL-1000,414.0,0.0,7,359.0
2025-10-11,NBL-1000,414.0,0.0,7,359.0
2025-10-18,NBL-1000,414.0,0.0,7,359.0
2025-10-25,NBL-1000,414.0,0.0,7,359.0
2025-11-01,NBL-1000,463.0,0.0,7,359.0
2025-11-08,NBL-1000,469.0,0.0,7,359.0
2025-11-15,NBL-1000,551.0,0.0,7,359.0
2025-11-22,NBL-1000,625.0,0.0,7,359.0
2025-11-29,NBL-1000,360.0,0.0,7,359.0
2025-12-06,NBL-1000,446.0,0.0,7,359.0
2025-12-13,NBL-1000,532.0,0.0,7,359.0
2025-12-20,NBL-1000,646.0,0.0,7,359.0
2025-12-27,NBL-1000,739.0,0.0,7,359.0
2026-01-03,NBL-1000,399.0,0.0,7,359.0
2026-01-10,NBL-1000,547.0,0.0,7,359.0
2026-01-17,NBL-1000,670.0,0.0,7,359.0
2026-01-24,NBL-1000,378.0,0.0,7,359.0
2026-01-31,NBL-1000,448.0,0.0,7,359.0
2026-02-07,NBL-1000,607.0,0.0,7,359.0
2026-02-14,NBL-1000,711.0,0.0,7,359.0
2026-02-21,NBL-1000,408.0,0.0,7,359.0
2026-02-28,NBL-1000,462.0,0.0,7,359.0
2026-03-07,NBL-1000,546.0,0.0,7,359.0
2026-03-14,NBL-1000,612.0,0.0,7,359.0
2026-03-21,NBL-1000,708.0,0.0,7,359.0
2026-03-28,NBL-1000,744.0,0.0,7,359.0
2026-04-04,NBL-1000,398.0,0.0,7,359.0
2026-04-11,NBL-1000,462.0,0.0,7,359.0
2026-04-18,NBL-1000,457.0,0.0,7,359.0
2026-04-25,NBL-1000,441.0,0.0,7,359.0
2026-05-02,NBL-1000,517.0,0.0,7,359.0
2026-05-09,NBL-1000,506.0,0.0,7,359.0
2026-05-16,NBL-1000,414.0,0.0,7,359.0
2026-05-23,NBL-1000,434.0,0.0,7,359.0
2026-05-30,NBL-1000,414.0,0.0,7,359.0
2026-06-06,NBL-1000,414.0,0.0,7,359.0
2026-06-13,NBL-1000,415.0,0.0,7,359.0
2026-06-20,NBL-1000,414.0,0.0,7,359.0
2026-06-27,NBL-1000,414.0,0.0,7,359.0
2026-07-04,NBL-1000,414.0,0.0,7,359.0
2026-07-11,NBL-1000,414.0,0.0,7,359.0
2024-07-13,NBL-1001,885.0,0.0,14,646.0
2024-07-20,NBL-1001,516.0,746.0,14,646.0
2024-07-27,NBL-1001,847.0,0.0,14,646.0
2024-08-03,NBL-1001,442.0,746.0,14,646.0
2024-08-10,NBL-1001,746.0,0.0,14,646.0
2024-08-17,NBL-1001,278.0,746.0,14,646.0
2024-08-24,NBL-1001,746.0,0.0,14,646.0
2024-08-31,NBL-1001,362.0,746.0,14,646.0
2024-09-07,NBL-1001,746.0,0.0,14,646.0
2024-09-14,NBL-1001,377.0,746.0,14,646.0
2024-09-21,NBL-1001,746.0,0.0,14,646.0
2024-09-28,NBL-1001,393.0,746.0,14,646.0
2024-10-05,NBL-1001,787.0,0.0,14,646.0
2024-10-12,NBL-1001,474.0,746.0,14,646.0
2024-10-19,NBL-1001,832.0,0.0,14,646.0
2024-10-26,NBL-1001,453.0,746.0,14,646.0
2024-11-02,NBL-1001,846.0,0.0,14,646.0
2024-11-09,NBL-1001,555.0,746.0,14,646.0
2024-11-16,NBL-1001,1037.0,0.0,14,646.0
2024-11-23,NBL-1001,682.0,0.0,14,646.0
2024-11-30,NBL-1001,1088.0,0.0,14,646.0
2024-12-07,NBL-1001,755.0,0.0,14,646.0
2024-12-14,NBL-1001,1206.0,0.0,14,646.0
2024-12-21,NBL-1001,927.0,0.0,14,646.0
2024-12-28,NBL-1001,1370.0,0.0,14,646.0
2025-01-04,NBL-1001,1070.0,0.0,14,646.0
2025-01-11,NBL-1001,786.0,0.0,14,646.0
2025-01-18,NBL-1001,468.0,746.0,14,646.0
2025-01-25,NBL-1001,863.0,0.0,14,646.0
2025-02-01,NBL-1001,540.0,746.0,14,646.0
2025-02-08,NBL-1001,972.0,0.0,14,646.0
2025-02-15,NBL-1001,659.0,0.0,14,646.0
2025-02-22,NBL-1001,1079.0,0.0,14,646.0
2025-03-01,NBL-1001,715.0,0.0,14,646.0
2025-03-08,NBL-1001,1113.0,0.0,14,646.0
2025-03-15,NBL-1001,763.0,0.0,14,646.0
2025-03-22,NBL-1001,1209.0,0.0,14,646.0
2025-03-29,NBL-1001,925.0,0.0,14,646.0
2025-04-05,NBL-1001,1385.0,,14,646.0
2025-04-12,NBL-1001,1094.0,,14,646.0
2025-04-19,NBL-1001,731.0,0.0,14,646.0
2025-04-26,NBL-1001,408.0,746.0,14,646.0
2025-05-03,NBL-1001,829.0,0.0,14,646.0
2025-05-10,NBL-1001,533.0,746.0,14,646.0
2025-05-17,NBL-1001,968.0,0.0,14,646.0
2025-05-24,NBL-1001,592.0,746.0,14,646.0
2025-05-31,NBL-1001,1002.0,0.0,14,646.0
2025-06-07,NBL-1001,737.0,0.0,14,646.0
2025-06-14,NBL-1001,1097.0,0.0,14,646.0
2025-06-21,NBL-1001,744.0,0.0,14,646.0
2025-06-28,NBL-1001,1208.0,0.0,14,646.0
2025-07-05,NBL-1001,805.0,0.0,14,646.0
2025-07-12,NBL-1001,1198.0,0.0,14,646.0
2025-07-19,NBL-1001,838.0,0.0,14,646.0
2025-07-26,NBL-1001,1239.0,0.0,14,646.0
2025-08-02,NBL-1001,875.0,0.0,14,646.0
2025-08-09,NBL-1001,1266.0,0.0,14,646.0
2025-08-16,NBL-1001,869.0,0.0,14,646.0
2025-08-23,NBL-1001,1301.0,,14,646.0
