sku_id,category,subcategory,launch_date,unit_cost,list_price
NBL-1000,Furnishings,Sofas,2024-06-25,83.49,248.28
NBL-1001,Decor,Wall Art,2023-03-07,175.81,495.4
NBL-1002,Small Appliances,Air Purifiers,2023-03-31,85.47,187.46
NBL-1003,Furnishings,Storage,2024-03-26,149.51,345.29
NBL-1004,Decor,Wall Art,2024-01-24,18.98,55.5
NBL-1005,Small Appliances,Kettles,2024-06-14,68.98,217.5
NBL-1006,Furnishing,Tables,2024-06-28,41.48,97.34
NBL-1007,Decor,Wall Art,2024-06-04,136.1,428.44
NBL-1008,Small Appliance,Air Purifiers,2024-09-25,88.76,168.92
NBL-1009,Furnishings,Tables,2023-11-29,47.03,125.65
NBL-1010,Decor,Wall Art,2024-08-05,128.45,269.72
NBL-1011,Small Appliances,Blenders,2024-07-17,74.65,153.88
NBL-1012,Furnishings,Tables,2023-04-08,42.38,68.31
NBL-1013,Decor,Vases,2024-04-10,129.29,368.37
NBL-1014,Small Appliances,Air Purifiers,2024-02-03,32.05,57.15
NBL-1015,Furnishings,Tables,2023-11-26,105.22,297.14
NBL-1016,Décor,Lighting,2024-01-23,104.18,217.35
NBL-1017,Small Appliances,Blenders,2024-11-18,78.27,232.11
NBL-1018,Furnishings,Sofas,2024-07-29,56.4,116.73
NBL-1019,Decor,Wall Art,2023-03-30,142.83,380.34
NBL-1020,SMALL APPLIANCES,Air Purifiers,2023-10-20,36.72,60.09
NBL-1021,Furnishings,Storage,2024-05-20,87.44,162.47
NBL-1022,Decor,Vases,2023-04-17,127.77,295.64
NBL-1023,Small Appliance,Kettles,2023-07-31,116.41,253.65
NBL-1024,Furnishings,Sofas,2023-08-26,164.28,446.76
NBL-1025,Decor,Vases,2024-06-18,141.95,389.94
NBL-1026,Small Appliances,Heaters,2024-05-30,24.58,74.83
NBL-1027,Furnishings,Chairs,2024-05-07,60.62,153.17
NBL-1028,Decor,Wall Art,2023-11-21,138.47,380.95
NBL-1029,Small Appliance,Heaters,2023-08-05,108.46,286.31
NBL-1030,Furnishings,Storage,2023-10-19,15.16,36.24
NBL-1031,Decor,Lighting,2023-04-12,25.79,65.51
NBL-1032,Small Appliances,Blenders,2024-10-09,107.94,232.61
NBL-1033,Furnishings,Chairs,2023-01-16,172.87,409.99
NBL-1034,Decor,Wall Art,2023-02-27,91.71,218.74
NBL-1035,Small Appliances,Kettles,2024-02-05,89.44,181.31
NBL-1036,Furnishings,Tables,2023-12-31,83.49,136.47
NBL-1037,Décor,Wall Art,2024-09-19,32.12,79.87
NBL-1038,Small Appliances,Air Purifiers,2023-03-25,121.42,335.51
NBL-1039,furnishings,Chairs,2023-08-13,165.55,325.86
NBL-1040,Decor,Wall Art,2024-01-24,71.8,210.21
NBL-1041,Small Appliances,Heaters,2023-08-10,171.9,355.05
NBL-1042,furnishings,Storage,2023-06-29,169.0,314.91
NBL-1043,Decor,Rugs,2024-11-09,161.37,451.48
NBL-1044,Small Appliances,Heaters,2023-06-06,97.24,204.74
NBL-1045,Furnishings,Storage,2023-08-23,72.27,126.56
NBL-1046,decor,Lighting,2023-09-23,169.13,335.82
NBL-1047,Small Appliances,Kettles,2024-08-04,34.36,64.83
NBL-1048,Furnishings,Tables,2024-09-04,41.79,87.61
NBL-1049,decor,Rugs,2024-11-11,94.13,172.28
NBL-1050,Small Appliances,Kettles,2023-07-15,124.56,223.58
NBL-1051,Furnishings,Sofas,2024-10-11,107.95,207.23
NBL-1052,DECOR,Lighting,2023-01-18,135.11,244.51
NBL-1053,Small Appliances,Air Purifiers,2024-10-11,76.38,158.99
NBL-1054,Furnishings,Tables,2024-04-09,172.37,354.79
NBL-1055,DECOR,Rugs,2023-01-18,103.49,270.56
NBL-1056,Small Appliances,Kettles,2024-06-08,174.19,444.82
NBL-1057,FURNISHINGS,Chairs,2024-05-31,88.39,252.41
NBL-1058,Decor,Lighting,2023-03-18,150.66,433.13
NBL-1059,Small Appliances,Blenders,2024-01-07,112.23,335.39
NBL-1060,Furnishings,Chairs,2023-10-16,72.36,165.08
NBL-1061,Decor,Vases,2024-08-30,86.07,171.84
NBL-1062,Small Appliance,Heaters,2024-06-06,148.45,262.53
NBL-1063,furnishings,Tables,2023-09-08,149.84,314.14
NBL-1064,Decor,Vases,2024-10-06,36.47,74.97
